time_start_sec,draw_time_avg,janky_frames,missed_vsync_count,slow_ui_thread_count,slow_bitmap_uploads_count,slow_issue_draw_commands_count,draw_time_avg_ma,janky_frames_ma
3530,114.6412,0,0,0,0,0,98.16958485714284,0.2857142857142857
3560,113.79842,0,0,0,0,0,93.47012628571427,0.14285714285714285
3590,24.030958,0,0,0,0,0,89.35225885714286,0.14285714285714285
3620,143.47757,0,0,0,0,0,90.43768314285714,0.14285714285714285
3650,38.167965,0,0,0,0,0,73.33427528571428,0.14285714285714285
3680,124.05657,0,0,0,0,0,82.78103757142857,0.14285714285714285
3710,29.392656,0,0,0,0,0,83.93790557142857,0.0
3740,121.43183,1,0,1,0,1,84.90799557142857,0.14285714285714285
3770,40.237766,0,0,0,0,0,74.39933071428571,0.14285714285714285
3800,42.683426,1,0,0,0,0,77.063969,0.2857142857142857
3830,79.13457,0,0,0,0,0,67.87211185714285,0.2857142857142857
3860,152.3599,0,0,0,0,0,84.18524542857142,0.2857142857142857
3890,99.29091,0,0,0,0,0,80.64729399999999,0.2857142857142857
3920,52.98552,0,0,0,0,0,84.01770314285714,0.2857142857142857
3950,133.99815,1,0,0,0,0,85.81289171428571,0.2857142857142857
4010,31.798,0,0,0,0,0,84.60721085714285,0.2857142857142857
4040,161.05496,0,0,0,0,0,101.51742999999999,0.14285714285714285
4070,51.315567,0,0,0,0,0,97.5432867142857,0.14285714285714285
4100,64.62808,1,0,0,0,1,85.01016957142858,0.2857142857142857
4130,51.30446,0,0,0,0,0,78.15496242857141,0.2857142857142857
4160,24.846706,0,0,0,0,0,74.13513185714285,0.2857142857142857
4190,94.31464,1,0,0,0,0,68.466059,0.2857142857142857
4220,77.79264,1,0,0,0,1,75.03672185714285,0.42857142857142855
4250,47.386578,0,0,0,0,0,58.79838157142856,0.42857142857142855
4280,73.215965,0,0,0,0,0,61.92700985714284,0.42857142857142855
4310,48.418655,0,0,0,0,0,59.6113777142857,0.2857142857142857
4340,92.52129,0,0,0,0,0,65.49949628571429,0.2857142857142857
4370,34.42506,16,5,12,2,5,66.86783257142856,2.5714285714285716
4400,34.987553,4,2,2,1,1,58.392534428571416,3.0
4430,21.729769,3,2,2,1,1,50.383552857142845,3.2857142857142856
4460,16.262442,4,1,3,1,1,45.937247714285704,3.857142857142857
4490,13.745802,2,0,2,1,0,37.44151014285713,4.142857142857143
4520,11.5870495,6,0,3,2,2,32.17985221428571,5.0
4550,13.267865,0,0,0,0,0,20.857934357142852,5.0
4580,24.500998,4,1,3,3,1,19.440211214285707,3.2857142857142856
4610,23.731922,2,1,2,0,0,17.83226392857142,3.0
4640,38.908104,28,22,26,24,5,20.28631178571428,6.571428571428571
4670,58.578953,0,0,0,0,0,26.331527642857136,6.0
4700,148.85027,0,0,0,0,0,45.63216592857142,5.714285714285714
4790,39.53241,45,8,16,6,34,49.624360285714275,11.285714285714286
4820,38.224033,0,0,0,0,0,53.18952714285713,11.285714285714286
4850,17.40212,6,1,3,0,5,52.175401714285705,11.571428571428571
4880,39.630543,45,41,45,45,3,54.44663328571427,17.714285714285715
4910,57.778988,34,4,10,2,27,57.14247385714285,18.571428571428573
4940,35.25725,3,3,3,2,0,53.81080199999999,19.0
